Abyss,Uçurum
Agitator,Karıştırıcı
Agony,Izdırap
Agrippa,Agrippa
The Armor,Zırh
My Arsenal,Cephaneliğim
Annihilator,Yok Edici
Anomaly,Anomal
Arbitrage,Arbitraj
Team Arsenic,Takım Arsenik
Alien,Yabancı
Albatross,Albatros
Amaretto,Amaretto
Amazon,Amazon
Ambush,Pusu
Angon,Angon
Animus,Animus
Stream Elements,Akış Öğeleri
Core Philosophies,Temel Felsefeler
Given Moment,Verilen An
Relative Performance,Göreceli performans
Trink,Ziynet
Twitch,Seğirme
Username,Kullanıcı adı
Onscreen Prompts,Ekrandaki İstemler
Flagship Property,Amiral Gemisi
Critical Role,Kiritik rol
Digital,Dijital
Cool Virtual Games,Harika Sanal Oyunlar
Strong Position,Güçlü Konum
Cool New Username,Harika Yeni Kullanıcı
Adı Ultimate Guide,Nihai Kılavuz
Window Of Opportunity,Fırsat penceresi
Chief Operating Officer,Baş işletme görevlisi
Unique Identity,Benzersiz Kimlik
Courtesy flush,Nezaket
Lee Trunk,Lee Trunk
Artemis,Artemis
Arya,Arya
Aspect,Görünüş
Aspis,Aspis
Astor,Astor
Atalante,Atalante
Athena,Athena
Atilla,Atilla
ATL,ATL
Atom,Atom
Atomic,Atomik
Audacity,Audacity
Automatic,Otomatik
Avenger,İntikamcı
Axe,Balta
Axe-man,Balta adam
Baroness,Barones
Bat,Yarasa
Beguile,Eğlendirmek
Behemoth,Behemoth
Belladonna,Belladonna
Bellagio,Bellagio
Belle Starr,Belle Starr
Bellona,Bellona
Bender,Bükücü
Benelli,Benelli
Beretta,Beretta
Berserk,Çılgına
Beryllium,Berilyum
Big Papa,Büyük baba
Big Time,Büyük zaman
Billhook,Billhook
Billy the Butcher,Kasap
Billy Bitten,Isırıldı
Azrael,Azrail
Baal,Baal
Babylon Candle,Babil Mum
Bacardi,Bacardi
Baccarat,Bakara
Ballistic,Balistik
Balrog,Balrog
Baltimore,Baltimore
Bane,Yıkım
Banshee,Banshee
Barbarian,Barbar
Black Beauty,Siyah güzellik
Black Cat,Kara kedi
Black Mamba,Kara Mamba
Blackjack,Blackjack
Blade,Bıçak ağzı
Blaser,Blaser
Blaze,Blaze
Bleed,Taşma
Blood,Kan
Bludgeon,Bludgeon
Boar,Domuz
Bodybag,Ceset torbası
Bomber,Bombacı
Bone,Kemik
Bookie,Bahisçi
Boomslang,Boomslang
Boudica,Boudica
Bowser,benzin pompası
OxyGeN,Oksijen
aLoNeAnqeL,Yalnız Melek
aLoNeDarK,Yalnız Karanlık
GameKinq,Oyun Kralı
DarKDayS,Karanlık Günler
FairyTale,Peri Masalı
LegendArrow,Efsane Ok
MythArrow,Efsane Ok
EldrithcArrow,Büyülü Ok
GoldenArrow,Altından Ok
TeaMStaR,Grup Yıldızı
GameMasTeR,Oyun Yöneticisi
BraveHeart,Cesur Yürek
SwindLer,Kazık Sokan , İşgence Yapan
Falcon,Doğan Şahin
LasTRomaNce,Son Aşk
UnKNowNLoVe,Bilinmeyen Aşk
SuRPriSeLoVe,Süpriz Aşk
